0 1.65 1
Linear 3 explicit
0.845 378.6 1636.784 636.5812
0.85 378.6 1634.7646 635.3846
0.855 378.6 1632.7523 634.2053
0.86 378.6 1630.7472 633.0432
0.865 378.6 1628.7495 631.8981
0.87 378.6 1626.7594 630.7698
0.875 378.6 1624.7769 629.6582
0.88 378.6 1622.8023 628.5631
0.885 378.6 1620.8356 627.4843
0.89 378.6 1618.8771 626.4217
0.895 378.6 1616.9268 625.3752
0.9 378.6 1614.9849 624.3446
0.905 378.6 1613.0516 623.3297
0.91 378.6 1611.1269 622.3303
0.915 378.6 1609.211 621.3464
0.92 378.6 1607.304 620.3777
0.925 378.6 1605.4061 619.4241
0.93 378.6 1603.5173 618.4854
0.935 378.6 1601.6379 617.5615
0.94 378.6 1599.7678 616.6523
0.945 378.6 1597.9073 615.7575
0.95 378.6 1596.0565 614.877
0.955 378.6 1594.2154 614.0107
0.96 378.6 1592.3842 613.1584
0.965 378.6 1590.563 612.3199
0.97 378.6 1588.7519 611.4951
0.975 378.6 1586.9509 610.6839
0.98 378.6 1585.1603 609.8861
0.985 378.6 1583.3801 609.1015
0.99 378.6 1581.6105 608.33
0.995 378.6 1579.8514 607.5714
1 378.6 1578.1031 606.8256
1.005 378.6 1576.3655 606.0924
1.01 378.6 1574.6389 605.3717
1.015 378.6 1572.9232 604.6634
1.02 378.6 1571.2186 603.9672
1.025 378.6 1569.5252 603.2831
1.03 378.6 1567.8431 602.6109
1.035 378.6 1566.1723 601.9504
1.04 378.6 1564.513 601.3016
1.045 378.6 1562.8651 600.6642
1.05 378.6 1561.2288 600.0381
1.055 378.6 1559.6043 599.4232
1.06 378.6 1557.9914 598.8193
1.065 378.6 1556.3904 598.2263
1.07 378.6 1554.8013 597.644
1.075 378.6 1553.2242 597.0724
1.08 378.6 1551.6591 596.5112
1.085 378.6 1550.1061 595.9604
1.09 378.6 1548.5653 595.4198
1.095 378.6 1547.0368 594.8892
1.1 378.6 1545.5206 594.3686
1.105 378.6 1544.0168 593.8577
1.11 378.6 1542.5254 593.3565
1.115 378.6 1541.0465 592.8648
1.12 378.6 1539.5802 592.3825
1.125 378.6 1538.1265 591.9095
1.13 378.6 1536.6855 591.4456
1.135 378.6 1535.2573 590.9908
1.14 378.6 1533.8418 590.5448
1.145 378.6 1532.4392 590.1075
1.15 378.6 1531.0495 589.6789
1.155 378.6 1529.6728 589.2588
1.16 378.6 1528.3091 588.8471
1.165 378.6 1526.9584 588.4436
1.17 378.6 1525.6209 588.0482
1.175 378.6 1524.2965 587.6609
1.18 378.6 1522.9853 587.2815
1.185 378.6 1521.6873 586.9098
1.19 378.6 1520.4027 586.5458
1.195 378.6 1519.1314 586.1894
1.2 378.6 1517.8734 585.8403
1.205 378.6 1516.6289 585.4986
1.21 378.6 1515.3979 585.1641
1.215 378.6 1514.1803 584.8367
1.22 378.6 1512.9763 584.5163
1.225 378.6 1511.7859 584.2028
1.23 378.6 1510.609 583.896
1.235 378.6 1509.4459 583.5959
1.24 378.6 1508.2964 583.3023
1.245 378.6 1507.1606 583.0152
1.25 378.6 1506.0385 582.7344
1.255 378.6 1504.9303 582.4599
1.26 378.6 1503.8359 582.1915
1.265 378.6 1502.7553 581.9292
1.27 378.6 1501.6886 581.6728
1.275 378.6 1500.6358 581.4222
1.28 378.6 1499.5969 581.1774
1.285 378.6 1498.572 580.9383
1.29 378.6 1497.561 580.7047
1.295 378.6 1496.5641 580.4766
1.3 378.6 1495.5812 580.2539
1.305 378.6 1494.6124 580.0365
1.31 378.6 1493.6577 579.8243
1.315 378.6 1492.7171 579.6172
1.32 378.6 1491.7906 579.4151
1.325 378.6 1490.8783 579.218
1.33 378.6 1489.9801 579.0257
1.335 378.6 1489.0962 578.8383
1.34 378.6 1488.2264 578.6555
1.345 378.6 1487.3709 578.4773
1.35 378.6 1486.5297 578.3037
1.355 378.6 1485.7028 578.1345
1.36 378.6 1484.8901 577.9697
1.365 378.6 1484.0917 577.8093
1.37 378.6 1483.3077 577.6531
1.375 378.6 1482.538 577.501
1.38 378.6 1481.7827 577.3531
1.385 378.6 1481.0418 577.2091
1.39 378.6 1480.3153 577.0692
1.395 378.6 1479.6031 576.9331
1.4 378.6 1478.9054 576.8009
1.405 378.6 1478.2221 576.6724
1.41 378.6 1477.5533 576.5476
1.415 378.6 1476.8989 576.4265
1.42 378.6 1476.2591 576.3089
1.425 378.6 1475.6336 576.1949
1.43 378.6 1475.0227 576.0843
1.435 378.6 1474.4263 575.9771
1.44 378.6 1473.8445 575.8733
1.445 378.6 1473.2771 575.7728
1.45 378.6 1472.7243 575.6755
1.455 378.6 1472.186 575.5814
1.46 378.6 1471.6623 575.4905
1.465 378.6 1471.1532 575.4027
1.47 378.6 1470.6586 575.3179
1.475 378.6 1470.1787 575.2361
1.48 378.6 1469.7133 575.1573
1.485 378.6 1469.2625 575.0814
1.49 378.6 1468.8263 575.0084
1.495 378.6 1468.4048 574.9382
1.5 378.6 1467.9979 574.8708
1.505 378.6 1467.6056 574.8062
1.51 378.6 1467.2279 574.7443
1.515 378.6 1466.8649 574.6851
1.52 378.6 1466.5165 574.6285
1.525 378.6 1466.1828 574.5746
1.53 378.6 1465.8637 574.5232
1.535 378.6 1465.5593 574.4744
1.54 378.6 1465.2695 574.4282
1.545 378.6 1464.9945 574.3845
1.55 378.6 1464.7341 574.3432
1.555 378.6 1464.4884 574.3044
1.56 378.6 1464.2573 574.268
1.565 378.6 1464.041 574.2341
1.57 378.6 1463.8393 574.2026
1.575 378.6 1463.6524 574.1734
1.58 378.6 1463.4801 574.1466
1.585 378.6 1463.3225 574.1221
1.59 378.6 1463.1797 574.1
1.595 378.6 1463.0515 574.0801
1.6 378.6 1462.938 574.0626
1.605 378.6 1462.8393 574.0474
1.61 378.6 1462.7552 574.0344
1.615 378.6 1462.6859 574.0238
1.62 378.6 1462.6312 574.0154
1.625 378.6 1462.5913 574.0092
1.63 378.6 1462.5661 574.0054
1.635 378.6 1462.5556 574.0038
1.64 378.6 1462.5552 574.0037
1.645 378.6 1462.5552 574.0037
1.65 378.6 1462.5552 574.0037
